OTU	Dry_F_1	Dry_N_1	Wet_F_1	Wet_N_1	Dry_F_2	Dry_N_2	Wet_F_2	Wet_N_2	Dry_F_3	Dry_N_3	Wet_F_3	Wet_N_3	Dry_F_4	Dry_N_4	Wet_F_4	Wet_N_4	Dry_F_5	Dry_N_5	Wet_F_5	Wet_N_5
ASV_1	41	139	0	0	60	41	2	2	53	80	1	7	53	18	0	13	66	48	0	0
ASV_2	25	130	3	6	6	34	6	1	29	27	17	8	59	49	3	0	13	12	15	17
ASV_3	93	94	0	0	28	40	0	0	17	13	0	1	48	44	0	0	29	20	6	4
ASV_4	0	0	0	8	0	0	113	125	0	2	23	15	0	0	21	0	0	0	0	0
ASV_5	0	0	5	55	0	0	1	24	0	0	34	6	0	0	37	0	0	0	61	7
ASV_6	15	12	0	0	25	44	0	0	1	6	8	0	7	0	0	0	78	31	0	0
ASV_7	0	0	34	50	0	0	9	29	0	0	39	30	0	0	35	0	0	0	0	0
ASV_8	0	0	17	24	0	0	8	37	0	0	120	13	0	0	5	0	0	0	1	0
ASV_9	0	0	20	64	0	0	9	48	0	0	34	4	0	0	37	0	0	0	0	0
ASV_10	1	9	30	8	5	12	11	18	2	6	22	17	3	2	15	27	3	8	8	7
ASV_11	0	0	28	90	0	0	2	25	0	0	23	0	0	0	9	0	0	0	0	1
ASV_12	0	0	67	14	0	0	0	0	1	0	5	0	33	13	0	0	5	10	11	0
ASV_13	11	54	0	0	4	2	7	2	4	11	2	1	14	7	0	0	3	4	0	8
ASV_14	11	19	3	0	10	22	1	0	10	13	1	0	7	13	2	2	4	13	1	0
ASV_15	2	0	4	5	0	0	5	10	0	7	13	0	7	13	20	10	0	0	22	3
ASV_16	20	32	0	0	2	0	0	1	4	5	0	0	22	12	6	0	3	4	0	0
ASV_17	1	0	0	106	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1
ASV_18	1	0	0	0	0	44	0	0	9	1	0	0	11	37	0	0	0	1	0	4
ASV_19	17	2	0	0	1	2	0	0	0	1	0	0	1	16	0	1	5	2	1	55
ASV_20	0	0	10	24	0	0	3	24	0	0	7	1	0	0	19	0	0	0	0	0
ASV_21	0	0	23	0	0	0	5	11	0	0	40	0	0	0	2	0	0	0	5	0
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	1
ASV_23	0	1	3	0	6	6	4	5	1	5	3	17	4	0	6	0	2	1	4	17
ASV_24	0	0	19	3	1	0	8	6	0	0	40	0	0	0	5	0	0	0	1	0
ASV_25	1	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0
ASV_26	5	5	1	0	0	0	3	0	0	0	0	0	2	3	0	0	51	6	0	2
ASV_27	0	0	0	0	0	21	0	0	5	23	0	0	10	13	0	0	0	0	0	0
ASV_28	4	4	0	0	10	0	0	3	23	20	0	0	1	0	0	0	6	0	0	0
ASV_29	0	0	1	0	0	0	2	56	0	0	0	0	0	0	2	0	1	0	7	2
ASV_30	4	0	5	0	0	0	3	5	5	24	0	0	22	0	0	0	0	1	0	0
ASV_31	1	0	0	0	2	29	0	1	12	1	0	0	11	3	0	0	4	0	2	1
