"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"
"ASV_105"	3.64975529071685	-6.1531256855608	1.64454949032179	-3.74152661368484	0.000182905803695468	0.0167288461995317	"Fungi"	NA	NA	NA	NA	NA
"ASV_14"	13.7940132924441	-5.89399434700715	1.06531239047645	-5.53264413302387	3.15439044656272e-08	1.87528512048154e-05	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"
"ASV_19"	10.6533492322872	-7.15216443372934	1.61764942304453	-4.42133155172057	9.80945207447516e-06	0.00331865495321698	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Sporormiaceae"	"Preussia"
"ASV_2"	45.2628940235798	-3.98510577506991	1.01494102740848	-3.92644071670387	8.62121285182339e-05	0.0113895800897978	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"
"ASV_31"	6.40380618242893	-5.69632787293014	1.55742418909664	-3.65753139883759	0.000254656071842157	0.0189241293387703	"Fungi"	"Rozellomycota"	"GS11"	NA	NA	NA
"ASV_34"	10.8803225025404	-5.75361592701025	1.4783430817877	-3.89193550393771	9.94476845678657e-05	0.0118243296951192	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	NA	NA
"ASV_36"	8.23033475747721	-7.4077345894291	1.78015925782895	-4.1612763334801	3.16473860880076e-05	0.0062714570097735	"Fungi"	NA	NA	NA	NA	NA
"ASV_39"	4.13302743629249	-6.43208007507241	1.68634039655562	-3.81422403697974	0.00013661149609575	0.0135359224048206	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"
"ASV_47"	5.41790098855118	-6.80035609258063	1.61938279531925	-4.19935058729582	2.67681592810071e-05	0.0062714570097735	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"
"ASV_51"	7.05237140967971	-6.53984755025944	1.69136901656958	-3.86660006550403	0.000110363192155998	0.0119292577703165	"Fungi"	NA	NA	NA	NA	NA
"ASV_71"	3.36609555309637	-6.11649020486606	1.71222686998351	-3.5722428564183	0.000353936953647135	0.0233795021048024	"Fungi"	"Chytridiomycota"	"Rhizophydiomycetes"	"Rhizophydiales"	NA	NA
"ASV_1"	63.3857506373047	-6.99830709561951	1.11286818349608	-6.28853192085545	3.20482176785516e-10	3.81053308197978e-07	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Sporadotrichida"	"Oxytrichidae"	NA
"ASV_16"	15.9143618721298	-6.37286659820269	1.56765740738777	-4.0652163975176	4.79879157031426e-05	0.00815109025300522	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Sporadotrichida"	"Oxytrichidae"	"Laurentiella"
"ASV_28"	8.99306427419006	-6.57234806579468	1.81472573624305	-3.62167568053625	0.000292700929425301	0.0204718473580402	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Sporadotrichida"	"Oxytrichidae"	NA
"ASV_42"	9.46688109517835	-7.59141102615547	1.89226400605923	-4.01181389163825	6.02539936720423e-05	0.00895524980950728	"Rhizaria"	"Endomyxa"	"Endomyxa_incertae_sedis"	"Endomyxa_incertae_sedis"	"Plasmodiophoridae"	"Polymyxa"
"ASV_59"	5.53661784170346	-6.83220892021699	1.8637118860226	-3.66591476475357	0.000246456009209663	0.0189241293387703	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Sporadotrichida"	"Oxytrichidae"	NA
"ASV_6"	22.3417858999566	-7.06497786584987	1.60812719837387	-4.3932954265023	1.11645246533793e-05	0.00331865495321698	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Sporadotrichida"	"Oxytrichidae"	NA
"ASV_70"	5.53181513715116	-6.51153776426463	1.75726858789247	-3.70548805636711	0.000210984072349336	0.0179185758588115	"Rhizaria"	"Phytomyxea"	NA	NA	NA	NA
