"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"
"vclust_00303"	2.52475009128761	5.14835871759053	1.59346945204618	3.2309114623939	0.00123396156422991	0.0180739076172499	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Hyaloscyphaceae"	"Cistella"
"vclust_00558"	18.9210250076677	8.04671117981833	1.55987413619966	5.15856439508806	2.48850521699876e-07	3.09818899516346e-05	"Fungi"	NA	NA	NA	NA	NA
"vclust_00592"	1.59217658075327	4.80110099545936	1.68160813057817	2.85506528432914	0.0043027983155151	0.0424973151610412	"Fungi"	"Rozellomycota"	"GS05"	NA	NA	NA
"vclust_00670"	2.54104119143853	5.4776351431701	1.4598354149467	3.75222787931207	0.000175270035038623	0.00363685322705142	"Fungi"	NA	NA	NA	NA	NA
"vclust_01113"	42.6146244253968	-2.76198638271625	0.939494666084301	-2.93986382512194	0.00328356521505517	0.0340669891061974	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	NA	NA
"vclust_02447"	10.9225575410436	3.69069106295454	0.991840622503607	3.72105253527375	0.000198394156230091	0.00380001114625328	"Fungi"	"Basidiomycota"	"Microbotryomycetes"	NA	NA	NA
"vclust_02780"	6.13040897060816	-5.62149859552678	1.38730672938391	-4.05209495237093	5.07610547361878e-05	0.00180564323275868	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"
"vclust_03224"	11.6338501920517	3.94683338928319	1.03694520857343	3.80621208975258	0.000141111386612742	0.00351367352665729	"Fungi"	"Basidiomycota"	"Cystobasidiomycetes"	"Erythrobasidiales"	"Erythrobasidiales_incertae_sedis"	"Sakaguchia"
"vclust_03891"	3.25635807779614	-4.7116558585501	1.54160497275548	-3.05633151281839	0.0022406336947269	0.029129959364529	"Fungi"	NA	NA	NA	NA	NA
"vclust_04446"	43.4725251161885	3.14290155021313	0.775509284464306	4.05269364683897	5.06312844608021e-05	0.00180564323275868	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Thelebolales"	"Pseudeurotiaceae"	"Pseudeurotium"
"vclust_05224"	10.378403697669	4.67494519603993	1.18883764850103	3.93236637646397	8.41137372888478e-05	0.00243839915023653	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Massarinaceae"	"Stagonospora"
"vclust_06101"	2.483021211744	-4.32449519058541	1.43012346107789	-3.02386144153318	0.00249570711859	0.02959195583471	"Fungi"	NA	NA	NA	NA	NA
"vclust_06167"	10.1523677385349	2.79256663129976	0.939548471168437	2.9722432817403	0.00295632327078534	0.0334602042920704	"Fungi"	"Kickxellomycota"	NA	NA	NA	NA
"vclust_06189"	5.7580021933991	6.38941315956237	1.54130690229166	4.14545159699369	3.39144638711079e-05	0.00176110382012669	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Hyaloscyphaceae"	"Cistella"
"vclust_06312"	7.25791135264376	6.98194504415965	2.20038738169029	3.1730526643887	0.00150845159304786	0.0208669137038288	"Fungi"	NA	NA	NA	NA	NA
"vclust_06334"	10.4444460716813	7.21262536557281	1.60984840341948	4.48031339488393	7.45335187826184e-06	0.000618628205895733	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Minutisphaerales"	"Minutisphaeraceae"	"Minutisphaera"
"vclust_06411"	5.05536012139749	6.4558325685485	1.91536921656899	3.37054209324344	0.000750204437469821	0.012453393661999	"Fungi"	"Basidiomycota"	"Agaricomycetes"	NA	NA	NA
"vclust_00880"	3.51636697801035	5.94204878191155	1.83250919217931	3.24257515720562	0.00118454700879332	0.0180739076172499	"Alveolata"	NA	NA	NA	NA	NA
"vclust_01237"	2.14193355964314	5.23204387443983	1.83886096596961	2.84526343821814	0.00443747065938583	0.0424973151610412	"Rhizaria"	"Phytomyxea"	NA	NA	NA	NA
"vclust_01780"	9.43730396077871	7.03314812534766	2.08126806398257	3.37926106062932	0.000726809554517119	0.012453393661999	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Sporadotrichida"	"Oxytrichidae"	"Laurentiella"
"vclust_02336"	5.92285146701286	-5.57456326748653	1.47383215836367	-3.78235963698589	0.00015534869572295	0.00351652956681951	"Rhizaria"	"Endomyxa"	"Endomyxa_incertae_sedis"	"Endomyxa_incertae_sedis"	"Plasmodiophoridae"	"Polymyxa"
"vclust_03335"	33.5645928626274	-5.57073391572476	1.34693643520626	-4.13585509317052	3.53635305246324e-05	0.00176110382012669	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Sporadotrichida"	"Oxytrichidae"	NA
"vclust_04002"	2.19042835682944	-4.14264467568341	1.48389400190787	-2.79173894520574	0.00524256336823159	0.0483480843959136	"Alveolata"	NA	NA	NA	NA	NA
"vclust_04780"	8.08037305266089	7.1288775576169	1.81806739718414	3.9211294194364	8.8134909044694e-05	0.00243839915023653	"Rhizaria"	"Phytomyxea"	NA	NA	NA	NA
"vclust_05113"	4.28686240070522	-4.18678022608781	1.37572336529208	-3.04333002674482	0.00233975577225133	0.029129959364529	"Rhizaria"	"Phytomyxea"	NA	NA	NA	NA
"vclust_06200"	21.3646546460914	8.2229904361459	1.4297635174863	5.75129406756925	8.85629124992401e-09	2.20521652123108e-06	"Rhizaria"	NA	NA	NA	NA	NA
"vclust_06323"	5.12777000018891	6.4733088825367	2.1888433416822	2.95741077456999	0.00310234521084991	0.0335862590218099	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Sporadotrichida"	"Oxytrichidae"	NA
