"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"
"swarm_00006"	37.4408529255661	2.69649585666516	0.613101810749698	4.39812084940329	1.0919217688738e-05	0.00417896556647867	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Thelebolales"	"Pseudeurotiaceae"	"Pseudeurotium"
"swarm_00014"	22.5858899325176	7.56243724613195	1.45635868641888	5.19270239993395	2.07263350034249e-07	0.000160836359626577	"Fungi"	NA	NA	NA	NA	NA
"swarm_00027"	26.955400392914	4.00355659225345	0.994953336806983	4.02386367696572	5.725106470742e-05	0.00916394894916662	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Hyaloscyphaceae"	"Cistella"
"swarm_00030"	24.4043280187002	3.62656543915508	0.805066846041018	4.50467617315134	6.64742312447254e-06	0.00343893356306046	"Fungi"	"Basidiomycota"	"Microbotryomycetes"	NA	NA	NA
"swarm_00040"	4.53775672921949	-5.22991938238377	1.46143377627256	-3.57862221832786	0.000345410333334341	0.0406160833491649	"Fungi"	NA	NA	NA	NA	NA
"swarm_00049"	9.55917447845051	4.3653333254608	1.02216005443531	4.27069450280211	1.94865187601499e-05	0.00504051285262544	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Massarinaceae"	"Stagonospora"
"swarm_00069"	6.30011263336305	5.82884987264639	1.38552560188494	4.20695934071267	2.58829687312955e-05	0.00573862392442438	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Hyaloscyphaceae"	"Cistella"
"swarm_00079"	9.49801039233657	6.94065550117435	1.87194910037726	3.70771593083144	0.000209137067425068	0.0295073389676095	"Fungi"	NA	NA	NA	NA	NA
"swarm_00086"	7.70798774424823	6.9233109763621	1.72367834521845	4.01659102788383	5.90460628167952e-05	0.00916394894916662	"Fungi"	"Basidiomycota"	"Agaricomycetes"	NA	NA	NA
"swarm_00109"	3.12226475790823	5.32142495538157	1.49344613439849	3.56318506092279	0.000366382195159993	0.0406160833491649	"Fungi"	"Ascomycota"	"Leotiomycetes"	"Helotiales"	"Hyaloscyphaceae"	"Cistella"
"swarm_00138"	2.99870080653747	5.55059354882361	1.35745615644811	4.0889670892555	4.33298317369121e-05	0.00840598735696094	"Fungi"	NA	NA	NA	NA	NA
"swarm_00008"	23.3680560885304	8.23504851828836	1.33989509165371	6.14603976802737	7.9441374312034e-10	1.23293012932277e-06	"Rhizaria"	NA	NA	NA	NA	NA
"swarm_00024"	10.8833480186561	7.13014160724753	2.03575848530236	3.50244965634444	0.000461000893477696	0.0476982257784923	"Alveolata"	"Ciliophora"	"Spirotrichea"	"Sporadotrichida"	"Oxytrichidae"	"Laurentiella"
"swarm_00029"	7.49072103623436	-5.96099494924112	1.36957590540249	-4.35243853643095	1.34631622631401e-05	0.00417896556647867	"Rhizaria"	"Endomyxa"	"Endomyxa_incertae_sedis"	"Endomyxa_incertae_sedis"	"Plasmodiophoridae"	"Polymyxa"
"swarm_00047"	9.76620102425154	4.99322327968602	1.39415240991927	3.58154764440364	0.000341564831081888	0.0406160833491649	"Rhizaria"	"Phytomyxea"	NA	NA	NA	NA
