"OTU"	"Dry_F_1"	"Dry_N_1"	"Dry_F_2"	"Dry_N_2"	"Dry_F_3"	"Dry_N_3"	"Dry_F_4"	"Dry_N_4"	"Dry_F_5"	"Dry_N_5"	"Wet_F_1"	"Wet_N_1"	"Wet_F_2"	"Wet_N_2"	"Wet_F_3"	"Wet_N_3"	"Wet_F_4"	"Wet_N_4"	"Wet_F_5"	"Wet_N_5"
"1"	"swarm_00001"	202	437	250	216	232	311	168	113	229	147	7	58	422	393	209	78	177	99	69	35
"2"	"swarm_00002"	116	459	77	168	123	183	245	187	31	32	21	24	25	11	56	34	33	3	36	65
"3"	"swarm_00003"	231	89	31	37	68	45	105	21	235	57	7	1	9	0	3	3	5	6	17	33
"4"	"swarm_00004"	161	153	69	66	26	32	82	70	61	35	0	0	0	0	1	3	1	3	167	9
"5"	"swarm_00005"	27	57	168	113	84	35	117	51	264	126	166	30	0	0	32	0	0	0	42	0
"6"	"swarm_00006"	7	33	13	29	9	15	8	12	9	19	73	23	25	48	58	35	52	73	23	24
"7"	"swarm_00007"	0	0	0	0	0	0	0	0	0	0	84	128	38	103	261	77	60	0	0	0
"8"	"swarm_00008"	0	0	0	0	0	0	0	0	0	1	5	79	3	30	52	7	51	0	97	13
"9"	"swarm_00009"	132	81	43	84	24	50	26	23	26	40	56	41	26	38	98	24	37	11	1	14
"10"	"swarm_00010"	49	319	38	63	98	135	69	88	30	42	16	8	30	8	21	9	29	2	21	37
"11"	"swarm_00011"	0	0	0	0	0	0	0	0	0	0	33	103	13	99	51	8	78	0	0	0
"12"	"swarm_00012"	57	51	13	0	11	21	40	24	17	19	26	18	10	17	44	0	40	0	32	33
"13"	"swarm_00013"	1	6	13	21	5	28	8	0	2	3	15	0	8	13	8	42	22	1	11	33
"14"	"swarm_00014"	50	17	2	3	0	1	8	40	12	6	0	0	1	0	1	0	3	0	3	141
"15"	"swarm_00015"	5	8	0	1	0	1	0	0	0	0	0	369	0	0	0	9	1	0	1	5
"16"	"swarm_00016"	0	0	0	0	0	0	0	0	2	0	107	9	31	35	177	0	12	0	17	0
"17"	"swarm_00017"	1	36	26	2	6	1	191	1	0	0	6	0	5	2	1	2	1	0	0	4
"18"	"swarm_00018"	0	0	0	0	0	0	0	0	0	0	29	94	2	25	26	1	10	0	0	0
"19"	"swarm_00019"	36	52	28	24	38	34	27	60	179	28	2	0	14	235	4	0	9	3	41	24
"20"	"swarm_00020"	0	4	2	41	36	55	23	18	3	3	0	0	0	0	0	0	0	3	2	1
"21"	"swarm_00021"	15	0	0	0	11	55	42	0	0	4	11	0	4	10	0	0	0	0	0	0
"22"	"swarm_00022"	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0
"23"	"swarm_00023"	177	0	4	24	8	0	3	0	0	7	0	8	12	0	0	0	0	0	9	11
"24"	"swarm_00024"	2	4	5	68	44	18	46	23	29	0	0	0	1	1	20	1	10	0	7	11
"25"	"swarm_00025"	0	0	0	0	0	0	0	0	0	0	0	25	24	0	0	0	0	0	63	44
"26"	"swarm_00026"	6	14	7	20	1	4	0	1	1	2	47	4	12	3	12	54	1	103	3	9
"27"	"swarm_00027"	44	70	14	15	2	0	8	2	7	2	8	8	6	4	18	16	15	8	0	6
"28"	"swarm_00028"	0	0	1	45	10	1	12	40	0	1	0	0	0	0	0	0	0	0	0	5
"29"	"swarm_00029"	47	35	27	24	1	0	35	26	2	15	0	0	0	0	0	0	0	0	0	0
"30"	"swarm_00030"	0	12	1	36	24	14	8	5	3	0	3	0	0	0	0	0	6	0	0	0
"31"	"swarm_00031"	0	0	0	16	9	6	0	27	22	9	0	0	18	33	57	7	0	0	7	20
"32"	"swarm_00032"	0	12	8	8	7	7	8	2	0	7	85	7	25	10	35	49	48	23	18	5
"33"	"swarm_00033"	6	31	12	140	4	35	0	2	0	1	1	9	2	2	57	8	8	3	10	42
"34"	"swarm_00034"	43	20	21	24	2	8	6	9	0	0	0	2	0	0	0	0	0	4	10	2
