#OTU ID	m161004_131820_42237_c101086072550000001823265803091794_s1_p0	m161004_173440_42237_c101086072550000001823265803091795_s1_p0	m161004_215100_42237_c101086072550000001823265803091796_s1_p0	m161005_020720_42237_c101086072550000001823265803091797_s1_p0	m161005_062341_42237_c101086352550000001823265803091720_s1_p0	m161005_104000_42237_c101086352550000001823265803091721_s1_p0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100271/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100302/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100347/ccs	2	2	0	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100405/ccs	2	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100527/ccs	1	0	0	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100582/ccs	1	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100595/ccs	3	1	1	2	3	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100713/ccs	1	0	1	2	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100800/ccs	3	3	1	3	4	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/100912/ccs	1	1	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101096/ccs	1	0	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101097/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101237/ccs	1	1	1	2	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101288/ccs	1	1	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101324/ccs	3	3	1	6	6	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101387/ccs	2	3	2	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/10139/ccs	1	0	1	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101530/ccs	2	1	3	1	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101675/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101699/ccs	15	21	12	10	8	20
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/101987/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102166/ccs	4	0	1	2	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102193/ccs	2	2	1	1	2	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102342/ccs	27	4	4	7	9	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102552/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102616/ccs	4	1	2	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102639/ccs	10	2	2	3	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102756/ccs	1	1	1	1	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102870/ccs	7	11	8	5	8	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102965/ccs	2	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/102986/ccs	3	3	2	2	3	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/103316/ccs	4	1	2	1	2	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/103344/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/103502/ccs	1	0	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/103757/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/10387/ccs	23	8	4	20	5	10
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/104187/ccs	2	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/104376/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/104521/ccs	1	0	1	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/104656/ccs	1	1	0	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/104796/ccs	6	1	1	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/104798/ccs	1	1	2	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/104859/ccs	1	0	2	1	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/104908/ccs	1	0	1	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/104915/ccs	1	1	1	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/105040/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/105151/ccs	1	1	1	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/10527/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/105281/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/105385/ccs	2	0	2	2	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/105514/ccs	3	0	0	0	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/105635/ccs	3	0	2	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/105653/ccs	2	2	3	3	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/105782/ccs	3	0	0	1	0	4
