sample-id	input	filtered	percentage of input passed filter	denoised	percentage of input denoised	non-chimeric	percentage of input non-chimeric
1EFS	3434	3126	91.03086779266162	810	23.587652882935352	810	23.587652882935352
1ENS	4304	3949	91.75185873605948	1218	28.29925650557621	1209	28.09014869888476
1WFS	2466	2267	91.93025141930251	679	27.53446877534469	679	27.53446877534469
1WNS	2164	2007	92.7449168207024	716	33.08687615526802	715	33.04066543438078
2EFS	1936	1792	92.56198347107438	487	25.15495867768595	482	24.89669421487603
2ENS	2995	2755	91.98664440734558	893	29.81636060100167	892	29.78297161936561
2WFS	2040	1869	91.61764705882352	574	28.137254901960784	562	27.54901960784314
2WNS	2004	1862	92.91417165668663	749	37.375249500998	742	37.025948103792416
3EFS	2106	1911	90.74074074074075	602	28.584995251661923	602	28.584995251661923
3ENS	2327	2127	91.40524280189085	662	28.4486463257413	655	28.14782982380748
3WFS	3170	2931	92.46056782334385	1016	32.05047318611987	1003	31.640378548895896
3WNS	2167	2001	92.3396400553761	558	25.749884633133362	558	25.749884633133362
4EFS	3410	3182	93.31378299120234	1135	33.28445747800586	1130	33.137829912023456
4ENS_60ml	2041	1876	91.9157275845174	618	30.279274865262128	617	30.230279274865264
4WFS	3089	2808	90.9032049206863	741	23.988345742958884	736	23.826481061832308
4WNS	1537	1376	89.52504879635654	378	24.593363695510735	378	24.593363695510735
5EFS	2381	2187	91.85216295674087	594	24.947501049979	591	24.821503569928602
5ENS	1775	1642	92.50704225352113	487	27.436619718309856	484	27.267605633802816
5WFS	2003	1837	91.71243135297054	612	30.55416874687968	611	30.504243634548178
gWNS	2128	1974	92.76315789473685	600	28.195488721804512	600	28.195488721804512
