OTU	Dry_F_1	Dry_F_2	Dry_F_3	Dry_F_4	Dry_F_5	Dry_N_1	Dry_N_2	Dry_N_3	Dry_N_4	Dry_N_5	Wet_F_1	Wet_F_2	Wet_F_3	Wet_F_4	Wet_F_5	Wet_N_1	Wet_N_2	Wet_N_3	Wet_N_4	Wet_N_5
OTU_1	6	13	10	8	9	31	29	11	12	18	69	26	55	51	23	24	46	37	74	24
OTU_2	52	44	53	23	48	81	31	63	8	24	0	187	68	44	3	18	140	39	28	2
OTU_3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4	0	0	0	0	2	1	1	1	0	5	0	0	0	0	2	0	0	0	0	1
OTU_6	43	21	2	6	0	19	24	8	9	0	0	0	0	0	9	2	0	0	4	2
OTU_7	3	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
OTU_8	0	0	0	0	3	0	1	1	0	0	103	34	169	12	17	8	34	0	0	0
OTU_9	0	0	0	0	6	26	0	0	12	7	0	2	0	0	11	5	14	0	0	0
OTU_10	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0
OTU_11	0	1	0	1	1	1	1	1	2	3	0	0	0	0	0	0	0	0	0	1
OTU_12	45	27	1	34	2	34	24	0	26	15	0	0	0	0	0	0	0	0	0	0
OTU_13	3	0	0	0	0	16	45	0	0	0	0	0	22	6	6	5	2	4	2	19
OTU_14	0	0	0	0	0	0	0	0	0	0	0	5	107	61	0	0	0	6	0	0
OTU_15	0	0	0	1	2	10	17	0	6	17	0	3	0	12	6	4	1	31	0	0
OTU_16	2	3	0	0	0	0	0	0	1	0	0	1	4	2	0	1	0	0	0	2
OTU_17	0	0	0	0	0	0	1	0	0	0	1	7	0	5	0	0	1	0	0	0
OTU_18	0	1	21	8	3	13	36	14	5	0	3	0	0	7	0	0	0	0	0	0
OTU_19	47	30	44	35	21	314	28	60	71	23	9	19	16	18	14	2	4	4	2	36
OTU_20	1	0	0	94	15	1	0	0	42	28	167	0	14	0	38	31	0	0	0	0
OTU_21	134	43	23	26	25	79	81	50	22	41	56	26	96	40	1	40	36	24	11	13
OTU_23	0	0	0	1	0	7	0	0	0	0	6	7	41	22	0	0	8	1	2	0
OTU_24	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_25	2	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_27	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_28	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1
OTU_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_30	24	0	0	8	0	3	3	0	0	3	0	0	0	4	1	0	0	9	0	0
OTU_31	0	0	0	0	0	0	0	0	0	0	0	0	0	16	27	0	0	0	0	0
OTU_32	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
OTU_33	230	31	74	106	239	92	37	44	21	57	7	10	3	5	16	1	0	3	6	30
OTU_34	1	1	0	1	0	3	0	0	0	0	5	0	0	3	1	1	0	2	10	0
OTU_35	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_36	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	3	0	0	0	0
OTU_37	1	1	0	4	5	11	8	1	1	2	8	2	1	25	4	11	7	2	1	5
OTU_39	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_40	0	0	0	0	0	0	0	0	0	0	0	14	15	0	0	5	0	0	0	0
OTU_41	3	7	1	1	0	9	3	1	1	0	31	4	10	1	0	1	2	37	89	2
OTU_43	0	0	0	0	1	0	0	0	2	0	48	20	74	52	0	85	59	55	0	0
OTU_44	15	0	12	42	0	0	0	55	0	4	11	4	0	0	0	0	11	0	0	0
OTU_45	0	12	2	3	2	0	13	2	7	3	0	0	1	2	0	0	0	0	0	3
OTU_46	0	0	0	0	1	0	0	0	0	0	0	1	1	4	0	0	0	62	0	0
OTU_47	7	2	17	5	0	4	7	27	2	0	0	1	0	0	0	0	1	3	1	2
OTU_48	2	1	3	1	1	4	1	0	0	0	0	1	0	2	0	1	0	5	2	0
OTU_49	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
OTU_51	0	1	2	0	0	3	2	0	0	0	7	0	2	3	5	2	0	1	6	8
OTU_52	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	289	0	8	0	1
OTU_53	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_54	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_55	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	1	0	2
OTU_56	0	0	0	0	0	2	0	0	0	0	0	1	0	2	2	0	1	2	0	0
OTU_58	1	0	1	189	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_59	0	0	3	1	2	1	4	15	0	1	0	0	0	2	0	0	0	0	1	0
OTU_60	31	156	56	21	194	51	114	33	8	89	0	0	17	0	0	0	0	0	0	0
OTU_61	0	0	0	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_62	0	0	0	0	0	1	0	0	0	0	17	12	9	0	2	0	5	4	29	5
OTU_64	3	6	47	26	5	6	16	46	10	15	0	0	0	0	0	0	0	0	0	0
OTU_65	4	0	0	17	1	0	0	11	41	1	7	11	31	68	52	13	26	0	28	6
OTU_66	4	3	0	1	0	1	0	7	4	3	0	2	5	3	14	0	2	0	2	14
OTU_67	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0
OTU_68	0	4	0	0	5	14	19	12	5	2	0	0	0	0	0	0	0	0	0	0
OTU_69	40	11	11	40	5	50	0	15	20	14	0	0	0	12	0	0	8	0	0	0
OTU_71	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_72	1	0	0	1	0	0	0	0	0	0	32	12	52	73	0	98	86	8	0	0
OTU_73	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_75	0	1	0	4	3	0	0	0	2	3	0	0	0	0	0	0	0	0	0	2
OTU_76	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0
OTU_77	29	2	0	4	167	35	0	1	13	17	1	5	3	2	4	0	3	1	0	8
OTU_79	0	1	0	1	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	2
OTU_80	19	0	0	0	0	0	0	0	0	7	0	2	1	0	0	0	1	3	0	24
OTU_81	0	2	0	0	0	31	2	6	0	3	0	2	7	0	3	2	4	0	0	0
OTU_84	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
OTU_85	1	4	0	3	3	6	9	1	5	0	0	0	0	0	0	0	0	0	0	0
OTU_86	20	0	0	19	0	0	2	1	5	0	0	7	22	51	2	3	0	25	0	3
OTU_88	121	72	127	242	29	457	168	180	187	31	21	26	55	33	34	22	10	34	3	64
OTU_89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
OTU_90	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	16	0
OTU_91	0	6	0	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_92	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_93	0	0	0	5	9	0	0	0	0	8	0	0	0	0	0	1	0	0	57	0
OTU_94	1	0	0	79	2	1	15	0	0	0	0	0	0	8	0	12	0	0	0	0
OTU_95	7	0	0	0	1	0	1	0	0	0	8	0	0	5	4	13	8	0	0	2
OTU_96	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU_97	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	2	0	0
OTU_98	0	1	0	1	0	1	0	0	4	0	0	0	0	1	1	0	1	0	1	1
OTU_100	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0
OTU_102	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0	1	5	3	0
OTU_103	0	0	15	13	9	0	0	6	7	18	0	0	0	0	0	0	0	0	0	0
OTU_104	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	14	0	0	0	0
OTU_105	176	0	7	1	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU_106	0	0	0	0	3	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0
OTU_108	2	0	0	1	0	8	3	1	3	0	0	0	0	0	2	1	0	0	0	1
OTU_109	0	0	1	0	0	0	0	0	0	0	0	5	1	1	0	0	5	0	0	0
OTU_110	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	3	0	0	0	0
OTU_111	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
OTU_112	0	4	1	2	0	3	1	1	0	1	13	12	22	16	9	4	3	22	21	1
OTU_113	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
OTU_114	5	9	33	18	1	4	19	13	37	1	0	0	0	0	0	0	0	0	0	4
OTU_115	1	2	4	1	0	5	5	3	1	5	76	14	11	30	9	3	7	26	1	1
OTU_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_118	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_119	3	0	0	0	0	11	0	0	0	2	0	7	9	12	4	0	3	0	0	0
OTU_120	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU_121	2	2	4	0	5	3	2	6	2	11	5	0	0	6	2	0	3	14	28	3
