ASV,Dry_F_1,Dry_F_2,Dry_F_3,Dry_F_4,Dry_F_5,Dry_N_1,Dry_N_2,Dry_N_3,Dry_N_4,Dry_N_5,Wet_F_1,Wet_F_2,Wet_F_3,Wet_F_4,Wet_F_5,Wet_N_1,Wet_N_2,Wet_N_3,Wet_N_4,Wet_N_5
ASV_0001,156,210,146,125,209,376,149,230,43,146,0,76,29,28,3,10,54,22,46,0
ASV_0002,112,56,117,216,30,432,126,110,186,33,21,27,57,34,35,25,12,32,3,61
ASV_0003,256,32,79,111,248,100,41,48,23,63,7,10,4,5,17,1,0,3,6,35
ASV_0004,141,47,23,29,28,83,87,54,22,43,65,26,100,42,1,43,40,28,11,14
ASV_0005,0,0,3,0,1,0,0,3,1,1,1,309,69,71,0,13,311,43,0,0
ASV_0006,170,73,29,85,64,166,68,32,71,36,0,0,1,1,11,0,0,3,3,7
ASV_0007,32,165,56,22,211,56,118,36,8,92,0,0,17,0,0,0,0,0,0,0
ASV_0008,44,22,23,28,20,250,18,41,50,19,0,17,14,11,13,2,4,3,2,26
ASV_0009,9,14,10,8,8,33,28,14,12,12,76,27,54,51,23,27,49,36,74,20
ASV_0010,1,0,0,106,17,1,0,0,45,29,178,0,18,0,45,33,0,0,0,0
ASV_0011,0,0,0,0,5,0,1,1,0,0,109,35,186,12,17,9,37,0,0,0
ASV_0012,1,0,0,1,0,0,0,0,0,0,34,13,53,83,0,108,101,8,0,0
ASV_0013,0,0,0,0,1,0,0,0,2,0,52,19,72,56,0,83,61,54,0,0
ASV_0014,0,0,0,0,1,0,1,0,0,0,36,20,200,6,0,50,48,24,0,0
ASV_0015,32,13,0,9,188,52,0,1,24,25,1,6,3,4,6,0,0,1,0,8
ASV_0016,1,3,0,0,1,1,1,0,0,1,5,3,57,51,101,87,30,7,0,13
ASV_0017,6,0,2,18,2,0,0,11,44,1,7,13,32,72,55,14,28,0,31,6
ASV_0018,55,2,0,8,12,16,4,1,43,6,0,1,1,5,3,0,0,0,0,154
ASV_0019,4,5,48,51,30,6,72,19,22,0,0,1,20,12,7,0,1,1,0,12
ASV_0020,13,45,66,2,39,19,31,52,0,1,0,0,0,0,1,0,4,0,32,0
ASV_0021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,276,0,7,0,1
ASV_0022,0,0,0,1,0,0,0,0,0,0,2,7,160,92,0,0,0,11,0,0
ASV_0023,1,15,6,8,2,6,24,27,0,3,15,9,9,24,11,0,11,43,1,34
ASV_0024,2,19,10,23,1,38,46,82,11,0,1,0,3,1,0,0,0,2,0,2
ASV_0025,40,13,11,41,5,52,0,16,22,15,0,0,0,12,0,0,9,0,0,0
ASV_0026,19,4,0,4,2,32,6,0,0,2,12,17,22,39,8,19,14,21,1,12
ASV_0027,53,27,1,36,2,37,30,0,30,16,0,0,0,0,0,0,0,0,0,0
ASV_0028,1,3,4,1,0,5,5,3,1,5,78,16,11,35,11,3,7,27,1,1
ASV_0029,0,0,0,0,25,0,0,0,25,5,0,19,62,0,8,0,36,8,0,22
ASV_0030,0,2,40,26,3,4,45,58,18,3,0,0,0,0,2,0,0,0,3,1
ASV_0031,190,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0032,16,16,2,6,5,56,4,0,2,0,8,7,18,17,1,8,4,21,8,4
ASV_0033,1,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0034,19,0,0,0,1,0,1,0,0,4,0,11,46,23,35,17,9,0,0,33
ASV_0035,0,1,0,0,0,0,0,0,0,0,31,2,26,13,0,96,28,1,0,0
ASV_0036,6,21,21,30,6,11,11,18,5,29,0,0,0,0,10,1,0,0,0,26
ASV_0037,4,10,2,0,0,18,80,5,0,0,0,0,25,6,7,5,3,4,2,22
ASV_0038,0,0,0,0,0,2,0,1,1,0,28,4,12,1,0,1,1,40,99,2
ASV_0039,3,6,50,28,6,6,16,46,12,16,0,0,0,0,0,0,0,0,0,0
ASV_0040,0,0,0,0,2,0,0,0,0,0,1,5,0,3,20,0,144,0,3,4
ASV_0041,22,0,0,7,1,0,9,0,0,7,36,2,12,0,7,0,1,33,0,45
ASV_0042,0,0,0,12,0,0,1,0,0,0,1,26,0,0,67,27,0,0,0,44
ASV_0043,0,0,1,0,3,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0
ASV_0044,0,6,3,7,0,8,3,6,1,2,13,14,24,17,9,5,4,24,25,2
ASV_0045,19,0,0,18,0,0,3,2,5,0,0,7,20,58,5,3,0,27,0,3
ASV_0046,6,0,31,22,0,5,46,24,17,0,0,0,0,0,0,0,7,0,0,9
ASV_0047,0,1,0,1,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,2
ASV_0048,3,15,15,16,8,14,22,15,3,10,2,7,8,11,7,0,2,0,0,6
ASV_0049,45,22,2,6,0,22,27,9,9,0,0,0,0,0,10,2,0,0,5,3
ASV_0050,15,0,12,42,0,0,0,59,0,5,13,4,0,0,0,0,11,0,0,0
ASV_0051,13,10,14,5,1,20,1,2,16,7,0,6,26,12,0,6,6,0,0,9
ASV_0052,32,8,0,10,0,19,31,0,6,7,0,27,0,0,0,0,14,0,0,0
ASV_0053,1,1,71,0,0,9,0,45,1,1,0,2,3,9,1,4,0,0,0,1
